genome_drug.genome_name	genome_drug.genome_id	genome_drug.antibiotic	genome_drug.measurement_sign	genome_drug.measurement_value	genome_drug.measurement_unit	genome_drug.resistant_phenotype	genome_drug.laboratory_typing_platform
Escherichia coli BIDMC 75	1438679.3	ceftazidime	<=	1	mg/L		
Escherichia coli BIDMC 76	1438680.3	ampicillin	>	16	mg/L		
Escherichia coli BIDMC 77	1438681.3	ceftazidime		16	mg/L		
Escherichia coli BIDMC 78	1438682.3	cefazolin	<=	4	mg/L		
Escherichia coli BIDMC 79	1438683.3	ceftazidime	<=	1	mg/L		
Escherichia coli BIDMC 82	1445862.3	ampicillin	>	16	mg/L		
Escherichia coli BIDMC 82	1445862.3	cefazolin	>	32	mg/L		
Escherichia coli BIDMC 83	1445863.3	ampicillin	<=	2	mg/L		
Escherichia coli BIDMC 83	1445863.3	ceftriaxone	<=	1	mg/L		
Escherichia coli BIDMC 9	1328439.3	ceftriaxone	>	32	mg/L		
Escherichia coli BIDMC 9	1328439.3	piperacillin	>	64	mg/L		
Escherichia coli MGH 57	1438687.3	cephalothin	>=	64	mg/L		Vitek 2
Escherichia coli MGH 57	1438687.3	tigecycline		0.5	mg/L		Vitek 2
Escherichia coli UCI 51	1438689.3	ampicillin	>=	32	mg/L		Vitek 2
Escherichia coli UCI 51	1438689.3	cefazolin	>=	8	mg/L		Vitek 2
Escherichia coli UCI 51	1438689.3	tigecycline	<=	2	mg/L		Vitek 2
Escherichia coli UCI 53	1438691.3	ampicillin	>=	32	mg/L		Vitek 2
Escherichia coli UCI 57	1438693.3	ampicillin	>=	32	mg/L		Vitek 2
Escherichia coli UCI 57	1438693.3	tigecycline	<=	2	mg/L		Vitek 2
Escherichia coli UCI 65	1438695.3	ampicillin	>=	32	mg/L		Vitek 2
Escherichia coli UCI 65	1438695.3	nitrofurantoin		128	mg/L		Vitek 2
Escherichia coli UCI 65	1438695.3	tigecycline	<=	2	mg/L		Vitek 2
Escherichia coli UCI 66	1438696.3	ceftazidime		16	mg/L		Vitek 2
Escherichia coli BIDMC 19A	1328443.3	ampicillin/sulbactam	>	16	mg/L		
Escherichia coli BIDMC 37	1328448.3	ampicillin/sulbactam	<=	2	mg/L		
Escherichia coli BIDMC 38	1328449.3	ampicillin/sulbactam		16	mg/L		
Escherichia coli BIDMC 59	1438669.3	ampicillin/sulbactam	<=	2	mg/L		
Escherichia coli BIDMC 73	1438677.3	ampicillin/sulbactam	<=	2	mg/L		
Escherichia coli BIDMC 75	1438679.3	ampicillin/sulbactam	>	16	mg/L		
Escherichia coli BIDMC 78	1438682.3	ampicillin/sulbactam		16	mg/L		
Escherichia coli BIDMC 82	1445862.3	ampicillin/sulbactam	>	16	mg/L		
Escherichia coli BIDMC 83	1445863.3	ampicillin/sulbactam	<=	2	mg/L		
Escherichia coli MGH 57	1438687.3	ampicillin/sulbactam	>=	32	mg/L		Vitek 2
Escherichia coli MGH 58	1438688.3	ampicillin/sulbactam		4	mg/L		Vitek 2
Escherichia coli UCI 53	1438691.3	ampicillin/sulbactam	>=	32	mg/L		Vitek 2
Escherichia coli UCI 58	1438694.3	ampicillin/sulbactam	>=	32	mg/L		Vitek 2
Escherichia coli UCI 65	1438695.3	ampicillin/sulbactam	>=	32	mg/L		Vitek 2
Escherichia coli BIDMC 17B	1328442.3	trimethoprim/sulfamethoxazole	>	8	mg/L		
Escherichia coli BIDMC 37	1328448.3	trimethoprim/sulfamethoxazole	<=	1	mg/L		
Escherichia coli BIDMC 38	1328449.3	trimethoprim/sulfamethoxazole	>	8	mg/L		
Escherichia coli BIDMC 43b	1400157.3	trimethoprim/sulfamethoxazole	<=	1	mg/L		
Escherichia coli BIDMC 49a	1400158.3	trimethoprim/sulfamethoxazole	<=	1	mg/L		
Escherichia coli BIDMC 58	1438668.3	trimethoprim/sulfamethoxazole	>	8	mg/L		
Escherichia coli BIDMC 64	1438672.3	trimethoprim/sulfamethoxazole	>	8	mg/L		
Escherichia coli BIDMC 72	1438676.3	trimethoprim/sulfamethoxazole	>	8	mg/L		
Escherichia coli BIDMC 77	1438681.3	trimethoprim/sulfamethoxazole	>	8	mg/L		
Escherichia coli BIDMC 79	1438683.3	trimethoprim/sulfamethoxazole	>	8	mg/L		
Escherichia coli BIDMC 83	1445863.3	trimethoprim/sulfamethoxazole	<=	1	mg/L		
Escherichia coli UCI 53	1438691.3	trimethoprim/sulfamethoxazole	<	20	mg/L		Vitek 2
Escherichia coli UCI 65	1438695.3	trimethoprim/sulfamethoxazole	>=	320	mg/L		Vitek 2
Escherichia coli BIDMC 3	1328437.3	piperacillin/tazobactam		64	mg/L		
Escherichia coli BIDMC 59	1438669.3	piperacillin/tazobactam	<=	4	mg/L		
Escherichia coli BIDMC 65	1438673.3	piperacillin/tazobactam	<=	4	mg/L		
Escherichia coli BIDMC 72	1438676.3	piperacillin/tazobactam	<=	4	mg/L		
Escherichia coli BIDMC 75	1438679.3	piperacillin/tazobactam		8	mg/L		
Escherichia coli BIDMC 82	1445862.3	piperacillin/tazobactam	>	64	mg/L		
Escherichia coli BIDMC 39	1328450.3	meropenem	<=	.25	mg/L		
Escherichia coli BIDMC 43b	1400157.3	meropenem		8	mg/L		
Escherichia coli BIDMC 65	1438673.3	meropenem	<=	.25	mg/L		
Escherichia coli BIDMC 72	1438676.3	meropenem	<=	.25	mg/L		
Escherichia coli BIDMC 75	1438679.3	meropenem	<=	.25	mg/L		
Escherichia coli BIDMC 76	1438680.3	meropenem	<=	.25	mg/L		
Escherichia coli BIDMC 79	1438683.3	meropenem	<=	.25	mg/L		
Escherichia coli BWH 34	1328433.3	meropenem		12	mg/L		
Escherichia coli BWH 40	1328434.3	meropenem		2	mg/L		
Escherichia coli UCI 51	1438689.3	meropenem	>=	4	mg/L		Vitek 2
Escherichia coli MGH 57	1438687.3	meropenem		32	mg/L		Vitek 2
Escherichia coli BIDMC 15	1328440.3	tetracycline				Susceptible	
Escherichia coli BIDMC 62	1438670.3	tetracycline	<=	4	mg/L		
Escherichia coli BIDMC 38	1328449.3	tobramycin	<=	1	mg/L		
Escherichia coli BIDMC 62	1438670.3	tobramycin	<=	1	mg/L		
Escherichia coli BIDMC 63	1438671.3	tobramycin	<=	1	mg/L		
Escherichia coli BIDMC 65	1438673.3	tobramycin	<=	1	mg/L		
Escherichia coli BIDMC 70	1438674.3	tobramycin	<=	1	mg/L		
Escherichia coli BIDMC 72	1438676.3	tobramycin	<=	1	mg/L		
Escherichia coli BIDMC 74	1438678.3	tobramycin	<=	1	mg/L		
Escherichia coli BIDMC 77	1438681.3	tobramycin	>	8	mg/L		
Escherichia coli BIDMC 79	1438683.3	tobramycin	<=	1	mg/L		
Escherichia coli BIDMC 82	1445862.3	tobramycin		8	mg/L		
Escherichia coli BIDMC 83	1445863.3	tobramycin	<=	1	mg/L		
Escherichia coli BWH 34	1328433.3	amikacin				Susceptible	
Escherichia coli BIDMC 19B	1328444.3	amikacin	<=	2	mg/L		
Escherichia coli BIDMC 77	1438681.3	amikacin		4	mg/L		
Escherichia coli MGH 57	1438687.3	amikacin	<=	2	mg/L		Vitek 2
Escherichia coli UCI 53	1438691.3	amikacin		16	mg/L		Vitek 2
Escherichia coli UCI 65	1438695.3	amikacin	<=	2	mg/L		Vitek 2
Escherichia coli BIDMC 43b	1400157.3	aztreonam	>	16	mg/L		
Escherichia coli BIDMC 19A	1328443.3	cefepime				Resistant	
Escherichia coli BIDMC 20A	1328446.3	cefepime		2	mg/L		
Escherichia coli BIDMC 59	1438669.3	cefepime	<=	1	mg/L		
Escherichia coli BIDMC 64	1438672.3	cefepime	>	32	mg/L		
Escherichia coli BIDMC 65	1438673.3	cefepime	<=	1	mg/L		
Escherichia coli BIDMC 70	1438674.3	cefepime	<=	1	mg/L		
Escherichia coli BIDMC 72	1438676.3	cefepime	<=	1	mg/L		
Escherichia coli BIDMC 78	1438682.3	cefepime	<=	1	mg/L		
Escherichia coli BWH 32	1328432.3	cefoxitin				Susceptible	
Escherichia coli UCI 57	1438693.3	cefoxitin	>=	64	mg/L		Vitek 2
Escherichia coli UCI 58	1438694.3	cefoxitin	>=	64	mg/L		Vitek 2
Escherichia coli BWH 32	1328432.3	ciprofloxacin				Susceptible	
Escherichia coli BIDMC 43b	1400157.3	ciprofloxacin	>	2	mg/L		
Escherichia coli BIDMC 59	1438669.3	ciprofloxacin	<=	.25	mg/L		
Escherichia coli BIDMC 62	1438670.3	ciprofloxacin	>	2	mg/L		
Escherichia coli BIDMC 65	1438673.3	ciprofloxacin	<=	.25	mg/L		
Escherichia coli BIDMC 72	1438676.3	ciprofloxacin	>	2	mg/L		
Escherichia coli BIDMC 73	1438677.3	ciprofloxacin	>	2	mg/L		
Escherichia coli BIDMC 74	1438678.3	ciprofloxacin	>	2	mg/L		
Escherichia coli BIDMC 75	1438679.3	ciprofloxacin	>	2	mg/L		
Escherichia coli BIDMC 79	1438683.3	ciprofloxacin	>	2	mg/L		
Escherichia coli UCI 58	1438694.3	ciprofloxacin	<=	0.25	mg/L		Vitek 2
Escherichia coli UCI 66	1438696.3	ciprofloxacin	<=	0.25	mg/L		Vitek 2
Escherichia coli BIDMC 43b	1400157.3	ertapenem		1	mg/L		
Escherichia coli BWH 32	1328432.3	gentamicin				Susceptible	
Escherichia coli BWH 40	1328434.3	gentamicin				Susceptible	
Escherichia coli BIDMC 37	1328448.3	gentamicin	<=	1	mg/L		
Escherichia coli BIDMC 38	1328449.3	gentamicin	<=	1	mg/L		
Escherichia coli BIDMC 43a	1400156.3	gentamicin	>	8	mg/L		
Escherichia coli BIDMC 59	1438669.3	gentamicin	<=	1	mg/L		
Escherichia coli BIDMC 62	1438670.3	gentamicin	<=	1	mg/L		
Escherichia coli BIDMC 64	1438672.3	gentamicin	<=	1	mg/L		
Escherichia coli BIDMC 65	1438673.3	gentamicin	<=	1	mg/L		
Escherichia coli BIDMC 70	1438674.3	gentamicin	<=	1	mg/L		
Escherichia coli BIDMC 72	1438676.3	gentamicin	<=	1	mg/L		
Escherichia coli BIDMC 76	1438680.3	gentamicin	<=	1	mg/L		
Escherichia coli BIDMC 77	1438681.3	gentamicin	>	8	mg/L		
Escherichia coli BIDMC 78	1438682.3	gentamicin	<=	1	mg/L		
Escherichia coli BIDMC 79	1438683.3	gentamicin	<=	1	mg/L		
Escherichia coli BIDMC 83	1445863.3	gentamicin	<=	1	mg/L		
Escherichia coli UCI 53	1438691.3	gentamicin	<=	1	mg/L		Vitek 2
Escherichia coli UCI 66	1438696.3	gentamicin	<=	1	mg/L		Vitek 2
Escherichia coli BWH 34	1328433.3	imipenem				Resistant	
Escherichia coli BWH 32	1328432.3	imipenem				Susceptible	
Escherichia coli BIDMC 43a	1400156.3	imipenem		4	mg/L		
Escherichia coli MGH 57	1438687.3	imipenem		2	mg/L		Vitek 2
Escherichia coli UCI 51	1438689.3	imipenem		2	mg/L		Vitek 2
Escherichia coli UCI 53	1438691.3	imipenem		2	mg/L		Vitek 2
Escherichia coli UCI 57	1438693.3	imipenem		2	mg/L		Vitek 2
Escherichia coli UCI 65	1438695.3	imipenem		2	mg/L		Vitek 2
Escherichia coli BWH 34	1328433.3	levofloxacin				Resistant	
Escherichia coli BWH 40	1328434.3	levofloxacin				Resistant	
Escherichia coli BWH 32	1328432.3	levofloxacin				Susceptible	
Escherichia coli MGH 58	1438688.3	levofloxacin		1	mg/L		Vitek 2
Escherichia coli UCI 51	1438689.3	levofloxacin	>=	8	mg/L		Vitek 2
Escherichia coli UCI 53	1438691.3	levofloxacin	>=	8	mg/L		Vitek 2
Escherichia coli UCI 57	1438693.3	levofloxacin	<	0.12	mg/L		Vitek 2
Escherichia coli UCI 58	1438694.3	levofloxacin	<=	0.12	mg/L		Vitek 2
Escherichia coli UCI 66	1438696.3	levofloxacin	<=	0.12	mg/L		Vitek 2
Escherichia coli BIDMC 17B	1328442.3	meropenem		32		Resistant	
Escherichia coli BIDMC 19C	1328445.3	meropenem		32		Resistant	
Escherichia coli BIDMC 9	1328439.3	meropenem		32		Resistant	
Escherichia coli BWH 32	1328432.3	meropenem				Susceptible	
Escherichia coli strain AR_0137	562.17721	cefazolin	>	16	mg/L	Resistant	
Escherichia coli strain AR_0137	562.17721	cefotaxime	>	128	mg/L	Resistant	
Escherichia coli strain AR_0137	562.17721	tigecycline	<=	0.5	mg/L	Susceptible	
Escherichia coli strain AR_0055	562.17722	ampicillin	>	32	mg/L	Resistant	
Escherichia coli strain AR_0055	562.17722	cefazolin	>	8	mg/L	Resistant	
Escherichia coli strain AR_0055	562.17722	colistin	==	1	mg/L	Not defined	
Escherichia coli strain AR_0055	562.17722	doripenem	>	8	mg/L	Resistant	
Escherichia coli strain AR_0055	562.17722	tigecycline	==	1	mg/L	Susceptible	
Escherichia coli strain 81009	562.17359	ceftazidime	==	16	mg/L	Resistant	
Escherichia coli strain 81009	562.17359	colistin	<	0.5	mg/L	Susceptible	
Escherichia coli strain AR_0150	562.17621	cefazolin	>	8	mg/L	Resistant	
Escherichia coli strain AR_0150	562.17621	cefotaxime	>	64	mg/L	Resistant	
Escherichia coli strain AR_0150	562.17621	ceftazidime	>	128	mg/L	Resistant	
Escherichia coli strain AR_0150	562.17621	colistin	==	0.5	mg/L	Not defined	
Escherichia coli strain AR_0114	562.17620	ampicillin	>	64	mg/L	Resistant	
Escherichia coli strain AR_0114	562.17620	cefotaxime	==	32	mg/L	Resistant	
Escherichia coli strain AR_0114	562.17620	ceftazidime	==	64	mg/L	Resistant	
Escherichia coli strain AR_0137	562.17721	ampicillin/sulbactam	>	32/16	mg/L	Resistant	
Escherichia coli strain AR_0114	562.17620	piperacillin/tazobactam	>	128/4	mg/L	Resistant	
Escherichia coli strain AR_0055	562.17722	trimethoprim/sulfamethoxazole	>	8/152	mg/L	Resistant	
Escherichia coli strain AR_0058	562.19632	ampicillin	>	32	mg/L	Resistant	
Escherichia coli strain AR_0058	562.19632	ceftazidime	==	64	mg/L	Resistant	
Escherichia coli strain AR_0058	562.19632	ceftriaxone	>	32	mg/L	Resistant	
Escherichia coli strain AR_0151	562.19631	ampicillin	>	32	mg/L	Resistant	
Escherichia coli strain AR_0151	562.19631	ceftazidime	>	128	mg/L	Resistant	
Escherichia coli strain AR_0151	562.19631	ceftriaxone	>	32	mg/L	Resistant	
Escherichia coli strain AR_0151	562.19631	colistin	==	0.5	mg/L	Not defined	
Escherichia coli strain AR_0149	562.19633	ampicillin	>	32	mg/L	Resistant	
Escherichia coli strain AR_0149	562.19633	ceftazidime	>	256	mg/L	Resistant	
Escherichia coli strain AR_0149	562.19633	colistin	==	0.5	mg/L	Not defined	
Escherichia coli CHS 68	1438684.3	cefotaxime				Resistant	
Escherichia coli CHS 68	1438684.3	nitrofurantoin				Resistant	
Escherichia coli CHS 69	1438685.3	cefazolin				Resistant	
Escherichia coli CHS 69	1438685.3	ceftazidime				Resistant	
Escherichia coli CHS 77	1438686.3	nitrofurantoin				Resistant	
Escherichia coli CHS 77	1438686.3	tigecycline				Resistant	
Escherichia coli CHS 69	1438685.3	ampicillin/sulbactam				Resistant	
Escherichia coli CHS 68	1438684.3	trimethoprim/sulfamethoxazole				Resistant	
Escherichia coli CHS 68	1438684.3	tigecycline				Susceptible	
Escherichia coli CHS 77	1438686.3	cefazolin				Susceptible	
Escherichia coli CHS 69	1438685.3	trimethoprim/sulfamethoxazole				Susceptible	
Escherichia coli strain AR_0001	562.12959	cefotaxime	>	128	mg/L	Resistant	
Escherichia coli strain AR_0001	562.12959	ceftriaxone	>	32	mg/L	Resistant	
Escherichia coli strain AR_0001	562.12959	doripenem	==	4	mg/L	Resistant	
Escherichia coli strain AR_0001	562.12959	tigecycline	==	2	mg/L	Susceptible	
Escherichia coli strain AR_0048	562.12960	cefotaxime	>	64	mg/L	Resistant	
Escherichia coli strain AR_0048	562.12960	ceftazidime	==	64	mg/L	Resistant	
Escherichia coli strain AR_0048	562.12960	ceftriaxone	>	32	mg/L	Resistant	
Escherichia coli strain AR_0048	562.12960	doripenem	>	8	mg/L	Resistant	
Escherichia coli strain AR_0001	562.12959	amoxicillin/clavulanic acid	>	32/16	mg/L	Resistant	
Escherichia coli strain AR_0048	562.12960	amoxicillin/clavulanic acid	>	32/16	mg/L	Resistant	
Escherichia coli strain AR_0048	562.12960	ampicillin/sulbactam	>	32/16	mg/L	Resistant	
Escherichia coli strain AR_0048	562.12960	piperacillin/tazobactam	>	128/4	mg/L	Resistant	
Escherichia coli strain AR_0001	562.12959	trimethoprim/sulfamethoxazole	>	8/152	mg/L	Resistant	
Escherichia coli strain AR_0118	562.16324	cefazolin	>	32	mg/L	Resistant	
Escherichia coli strain AR_0118	562.16324	ceftazidime	>	256	mg/L	Resistant	
Escherichia coli strain AR_0118	562.16324	ceftriaxone	>	64	mg/L	Resistant	
Escherichia coli strain AR_0061	562.16325	ceftriaxone	>	32	mg/L	Resistant	
Escherichia coli strain AR_0061	562.16325	tigecycline	<=	0.5	mg/L	Susceptible	
Escherichia coli strain AR_0069	562.16326	ampicillin	>	32	mg/L	Resistant	
Escherichia coli strain AR_0069	562.16326	doripenem	==	8	mg/L	Resistant	
Escherichia coli strain AR_0104	562.16327	ampicillin	>	32	mg/L	Resistant	
Escherichia coli strain AR_0104	562.16327	ceftazidime	>	128	mg/L	Resistant	
Escherichia coli strain AR_0104	562.16327	tigecycline	<=	0.5	mg/L	Susceptible	
Escherichia coli strain 5CRE51	562.16466	cefazolin	>	8	mg/L	Resistant	Phoenix NMIC-203 card
Escherichia coli strain 5CRE51	562.16466	ceftazidime	>	32	mg/L	Resistant	Phoenix NMIC-203 card
Escherichia coli strain 5CRE51	562.16466	ceftriaxone	>	32	mg/L	Resistant	Phoenix NMIC-203 card
Escherichia coli strain 5CRE51	562.16466	nitrofurantoin	<=	32	mg/L	Susceptible	Phoenix NMIC-203 card
Escherichia coli strain 5CRE51	562.16466	norfloxacin	>	8	mg/L	Resistant	Phoenix NMIC-203 card
Escherichia coli strain AR_0061	562.16325	amoxicillin/clavulanic acid	>	32/16	mg/L	Resistant	
Escherichia coli strain 5CRE51	562.16466	piperacillin/tazobactam	>	64/4	mg/L	Resistant	Phoenix NMIC-203 card
Escherichia coli strain AR_0061	562.16325	trimethoprim/sulfamethoxazole	>	8/152	mg/L	Resistant	
Escherichia coli strain AR_0069	562.16326	trimethoprim/sulfamethoxazole	>	8/152	mg/L	Resistant	
Escherichia coli strain AR_0104	562.16327	trimethoprim/sulfamethoxazole	>	8/152	mg/L	Resistant	
Escherichia coli strain AR_0061	562.16325	meropenem	==	4	mg/L	Resistant	
Escherichia coli strain AR_0069	562.16326	meropenem	==	8	mg/L	Resistant	
Escherichia coli strain AR_0104	562.16327	meropenem	==	1	mg/L	Susceptible	
Escherichia coli strain AR_0149	562.19821	meropenem	==	8	mg/L	Resistant	
Escherichia coli strain AR_0162	562.22426	meropenem	>	8	mg/L	Resistant	
Escherichia coli strain AR_0374	562.28563	meropenem	<=	0.12	mg/L	Susceptible	
Escherichia coli strain AR434	562.28805	meropenem	<=	0.12	mg/L	Susceptible	
Escherichia coli strain AR435	562.29007	meropenem	>	8	mg/L	Resistant	
Escherichia coli strain AR_0081	562.29139	meropenem	<=	0.12	mg/L	Susceptible	
Escherichia coli strain AR434	562.28805	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	
Escherichia coli strain AR435	562.29007	piperacillin/tazobactam	>	128/4	mg/L	Resistant	
Escherichia coli strain AR_0378	562.29003	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	
Escherichia coli strain AR_0081	562.29139	piperacillin/tazobactam	==	16/4	mg/L	Susceptible	
Escherichia coli strain AR_0114	562.17620	polymyxin B	==	2	mg/L	Not defined	
Escherichia coli strain AR_0104	562.16327	polymyxin B	==	0.5	mg/L	Not defined	
Escherichia coli strain AR_0128	562.19823	polymyxin B	==	0.5	mg/L	Not defined	
Escherichia coli strain AR_0372	562.28434	polymyxin B	==	0.5	mg/L	Not defined	
Escherichia coli strain AR_0368	562.28565	polymyxin B	==	0.5	mg/L	Not defined	
Escherichia coli strain AR_0374	562.28563	polymyxin B	==	0.5	mg/L	Not defined	
Escherichia coli strain AR434	562.28805	polymyxin B	==	0.5	mg/L	Not defined	
Escherichia coli strain AR437	562.29008	polymyxin B	==	0.5	mg/L	Not defined	
Escherichia coli strain AR_0378	562.29003	polymyxin B	==	1	mg/L	Not defined	
Escherichia coli strain AR_0081	562.29139	polymyxin B	==	1	mg/L	Not defined	
Escherichia coli strain AR_0114	562.17620	tetracycline	==	2	mg/L	Susceptible	
Escherichia coli strain AR_0149	562.19633	tetracycline	==	4	mg/L	Susceptible	
Escherichia coli strain AR_0001	562.12959	tetracycline	==	16	mg/L	Resistant	
Escherichia coli strain AR_0118	562.16324	tetracycline	<=	2	mg/L	Susceptible	
Escherichia coli strain AR_0128	562.19823	tetracycline	>	32	mg/L	Resistant	
Escherichia coli strain AR_0372	562.28434	tetracycline	>	32	mg/L	Resistant	
Escherichia coli strain AR_0371	562.28566	tetracycline	>	32	mg/L	Resistant	
Escherichia coli strain AR435	562.29007	tetracycline	>	32	mg/L	Resistant	
Escherichia coli strain AR_0378	562.29003	tetracycline	>	32	mg/L	Resistant	
Escherichia coli strain AR_0055	562.17722	tobramycin	>	16	mg/L	Resistant	
Escherichia coli strain AR_0114	562.17620	tobramycin	==	8	mg/L	Intermediate	
Escherichia coli strain AR_0149	562.19633	tobramycin	>	16	mg/L	Resistant	
Escherichia coli strain AR_0118	562.16324	tobramycin	>	16	mg/L	Resistant	
Escherichia coli strain AR_0128	562.19823	tobramycin	>	16	mg/L	Resistant	
Escherichia coli strain AR_0077	562.28389	tobramycin	==	1	mg/L	Susceptible	
Escherichia coli strain AR_0369	562.28435	tobramycin	>	16	mg/L	Resistant	
Escherichia coli strain AR_0372	562.28434	tobramycin	>	16	mg/L	Resistant	
Escherichia coli strain AR436	562.29006	tobramycin	==	8	mg/L	Intermediate	
Escherichia coli strain AR435	562.29007	tobramycin	>	16	mg/L	Resistant	
Escherichia coli strain AR_0369	562.28435	trimethoprim/sulfamethoxazole	>	8/152	mg/L	Resistant	
Escherichia coli strain AR_0370	562.28567	trimethoprim/sulfamethoxazole	<=	0.5/9.5	mg/L	Susceptible	
Escherichia coli strain AR434	562.28805	trimethoprim/sulfamethoxazole	>	8/152	mg/L	Resistant	
Escherichia coli strain AR_0058	562.19632	amoxicillin/clavulanic acid	==	32/16	mg/L	Resistant	
Escherichia coli strain AR_0151	562.19631	amoxicillin/clavulanic acid	>	32/16	mg/L	Resistant	
Escherichia coli strain AR_0149	562.19633	amoxicillin/clavulanic acid	>	32/16	mg/L	Resistant	
Escherichia coli strain AR_0058	562.19632	ampicillin/sulbactam	>	32/16	mg/L	Resistant	
Escherichia coli strain AR_0149	562.19633	ampicillin/sulbactam	>	32/16	mg/L	Resistant	
Escherichia coli strain AR_0162	562.20499	piperacillin/tazobactam	>	128/4	mg/L	Resistant	
Escherichia coli strain AR_0162	562.20499	trimethoprim/sulfamethoxazole	<=	0.5/9.5	mg/L	Susceptible	
